Scenario,Algorithm,N,InsertTime(ms),SearchTime(ms),DeleteTime(ms)
2,B_Tree_512,290000,3.0372,0.1645,27.0734
2,AVL,310000,47.3009,0.4992,24.4127
2,RB_Tree,310000,22.1268,0.779,26.5517
2,B_Tree_512,310000,6.2474,0.3929,40.0938
2,AVL,330000,44.4396,0.4967,18.2301
2,RB_Tree,330000,36.1315,0.7208,23.8168
2,B_Tree_512,330000,2.1529,0.1105,27.5171
2,AVL,350000,47.4079,0.725,22.397
2,RB_Tree,350000,29.4406,0.6307,34.4038
2,B_Tree_512,350000,4.4956,0.243,47.4058
2,AVL,370000,62.1049,0.5991,22.0156
2,RB_Tree,370000,29.209,0.3697,30.7724
2,B_Tree_512,370000,11.4485,0.8928,104.566
2,AVL,390000,68.2325,0.7855,56.0756
2,RB_Tree,390000,64.0026,0.8101,73.2044
2,B_Tree_512,390000,8.5121,0.7697,87.8418
3,BST,10000,1.3599,0.092,2.181
3,AVL,10000,1.7182,0.0876,1.6528
3,RB_Tree,10000,1.5081,0.1065,2.1717
3,B_Tree_512,10000,1.4185,0.1421,1.8824
3,BST,30000,4.6379,0.1211,8.1604
3,AVL,30000,8.9074,0.2361,8.7381
3,RB_Tree,30000,11.027,0.2499,10.7592
3,B_Tree_512,30000,4.9815,0.1987,8.6286
3,BST,50000,8.9344,0.1339,11.3408
3,AVL,50000,12.4468,0.1261,10.9603
3,RB_Tree,50000,10.3498,0.1514,17.7557
3,B_Tree_512,50000,8.7211,0.1965,12.9872
3,BST,70000,12.9956,0.1506,14.2679
3,AVL,70000,25.4745,0.1342,22.6364
3,RB_Tree,70000,25.8062,0.2348,51.1221
3,B_Tree_512,70000,26.6616,0.2051,39.1884
3,BST,90000,34.463,0.1856,23.9562
3,AVL,90000,58.6504,2.6835,64.5804
3,RB_Tree,90000,83.4208,0.7085,40.0776
3,B_Tree_512,90000,28.6334,0.3662,28.3166
3,BST,110000,67.7783,0.5782,59.0868
3,AVL,110000,57.9091,0.4107,66.2513
3,RB_Tree,110000,53.7925,0.3794,67.31
3,B_Tree_512,110000,37.6706,0.3813,52.7092
3,BST,130000,100.756,0.454,53.0593
3,AVL,130000,61.4466,0.6041,77.7699
3,RB_Tree,130000,87.791,0.2923,100.144
3,B_Tree_512,130000,56.4118,0.5233,62.8946
3,BST,150000,62.6703,0.2408,59.7626
3,AVL,150000,55.7942,0.167,66.4515
3,RB_Tree,150000,62.6422,0.2686,85.6965
3,B_Tree_512,150000,38.3308,0.2892,55.0185
3,BST,170000,63.3005,0.3578,72.2926
3,AVL,170000,70.1959,0.7861,85.961
3,RB_Tree,170000,88.258,0.277,125.106
3,B_Tree_512,170000,41.5828,0.299,62.7119
3,BST,190000,74.5909,0.2095,69.4727
3,AVL,190000,116.298,0.2942,113.037
3,RB_Tree,190000,126.491,0.2523,101.134
3,B_Tree_512,190000,62.2036,0.2613,92.8916
3,BST,210000,103.504,1.5365,100.069
3,AVL,210000,124.06,0.9315,129.733
3,RB_Tree,210000,128.36,0.429,169.071
3,B_Tree_512,210000,116.508,0.3349,141.363
3,BST,230000,77.2869,0.2227,77.5859
3,AVL,230000,119.561,0.3259,141.593
3,RB_Tree,230000,119.79,0.3116,189.269
3,B_Tree_512,230000,176.416,0.5327,103.367
3,BST,250000,152.954,0.2626,83.7544
3,AVL,250000,159.428,0.3081,136.519
3,RB_Tree,250000,116.555,0.3454,201.678
3,B_Tree_512,250000,72.0788,0.3047,125.252
3,BST,270000,81.0785,0.2219,141.676
3,AVL,270000,124.781,0.5509,178.137
3,RB_Tree,270000,220.058,0.4182,225.434
3,B_Tree_512,270000,88.9381,0.3204,115.566
3,BST,290000,114.224,0.2619,136.126
3,AVL,290000,251.541,0.4167,164.798
3,RB_Tree,290000,126.873,0.2999,229.887
3,B_Tree_512,290000,84.2908,0.3224,138.474
3,BST,310000,132.178,0.5225,130.994
3,AVL,310000,164.047,0.6012,207.199
3,RB_Tree,310000,151.181,0.4482,235.323
3,B_Tree_512,310000,127.228,0.3222,135.041
3,BST,330000,126.189,0.4243,148.139
3,AVL,330000,153.784,0.2929,239.741
3,RB_Tree,330000,171.975,1.2698,210.862
3,B_Tree_512,330000,94.7663,0.5853,153.624
3,BST,350000,123.29,0.2581,159.652
3,AVL,350000,199.035,0.3331,239.476
3,RB_Tree,350000,173.918,0.3409,323.264
3,B_Tree_512,350000,123.886,0.3004,171.537
3,BST,370000,199.578,0.3086,105.284
3,AVL,370000,145.863,0.252,135.205
3,RB_Tree,370000,92.1667,0.2764,164.372
3,B_Tree_512,370000,49.2732,0.1461,54.8667
3,BST,390000,79.7017,0.2266,113.144
3,AVL,390000,157.789,0.2673,149.649
3,RB_Tree,390000,135.194,0.3189,163.285
3,B_Tree_512,390000,53.7936,0.1187,57.7971
